180,0.2,0.111111,0.161671,0.140173,0.232196,0.203312,0.26234
144,0.2,0.138889,0.0751357,0.237663,0.261556,0.250229,0.175101
120,0.2,0.166667,0.100152,0.278959,0.177069,0.240039,0.203377
90,0.2,0.222222,0.19748,0.188981,0.300981,0.16331,0.148671
60,0.2,0.333333,0.120815,0.191149,0.20888,0.241558,0.236755
45,0.2,0.444444,0.0630719,0.267278,0.185696,0.247577,0.234955
36,0.2,0.555556,0.132596,0.189897,0.255867,0.187629,0.232737
30,0.2,0.666667,0.130793,0.180933,0.226388,0.226217,0.234101
25.7143,0.2,0.777778,0.143639,0.22215,0.193515,0.19957,0.238089
22.5,0.2,0.888889,0.121114,0.181291,0.251825,0.225062,0.218499
20,0.2,1,0.15728,0.237086,0.201585,0.20858,0.192197
13.3333,0.2,1.5,0.167789,0.229365,0.193764,0.192277,0.210748
10,0.2,2,0.249393,0.159181,0.211752,0.189706,0.184011
6.66667,0.2,3,0.515367,0.10845,0.118876,0.115333,0.13269
5,0.2,4,0.614101,0.0780101,0.10198,0.0944835,0.103665

 3961.61
