0.35,0.4,0.25,0,0,0,0,0
0.42,0.4,0.25,0,0,0,0,0
0.504,0.4,0.25,0,0,0,0,0
0.6048,0.4,0.25,0,0,0,0,0
0.72576,0.4,0.25,0,0,0,0,0
0.870912,0.4,0.25,0,0,0,0,0
1.04509,0.4,0.25,0,0,0,0,0
1.25411,0.4,0.25,0.820424,0,0,0,0
1.50494,0.4,0.25,0.865038,0,0,0,0
1.80592,0.4,0.25,0.88385,0,0,0,0
2.16711,0.4,0.25,0.896991,0,0,0,0
2.60053,0.4,0.25,0.917668,0,0,0,0
3.12064,0.4,0.25,0.934228,0,0,0,0
3.74476,0.4,0.25,0,0.239107,0.233308,0.240616,0.227269
4.49371,0.4,0.25,0,0.234347,0.24578,0.239563,0.229913
5.39246,0.4,0.25,0.963715,0,0,0,0
6.47095,0.4,0.25,0.619704,0.0936805,0.0918742,0.0868126,0.0747404
7.76514,0.4,0.25,0.972857,0,0,0,0
9.31817,0.4,0.25,0.289863,0.168683,0.175217,0.173286,0.170572
11.1818,0.4,0.25,0.102124,0.219912,0.227068,0.212635,0.21937
13.4182,0.4,0.25,0.198558,0.189912,0.199806,0.203226,0.193322
16.1018,0.4,0.25,0.331501,0.162594,0.161098,0.173619,0.158936
19.3222,0.4,0.25,0.294728,0.179493,0.171188,0.168528,0.175454
23.1866,0.4,0.25,0.272631,0.177187,0.1732,0.188803,0.179468
27.8239,0.4,0.25,0.266678,0.185877,0.178786,0.181936,0.17937
33.3887,0.4,0.25,0.246704,0.192702,0.184357,0.181581,0.188742
40.0664,0.4,0.25,0.297107,0.173818,0.177747,0.175751,0.170776
48.0797,0.4,0.25,0.302686,0.176079,0.171322,0.172642,0.173076
57.6956,0.4,0.25,0.177755,0.203399,0.207292,0.203219,0.204759
69.2348,0.4,0.25,0.223421,0.190974,0.193927,0.192599,0.196109
83.0817,0.4,0.25,0.26282,0.18308,0.186968,0.184153,0.180575
99.6981,0.4,0.25,0.266311,0.181011,0.18407,0.180962,0.185596

 5956.7
